M/Z,INTENSITY
78.0796,9.00E+00
78.0834,0.00E+00
78.1027,0.00E+00
78.1066,4.20E+01
78.1105,7.00E+00
78.1143,0.00E+00
78.1259,0.00E+00
78.1298,1.50E+01
78.1336,6.00E+00
78.1375,0.00E+00
78.2456,0.00E+00
78.2495,4.00E+00
78.2533,1.50E+01
78.2572,0.00E+00
78.2765,0.00E+00
78.2804,9.00E+00
78.2843,9.00E+00
78.2881,0.00E+00
78.2997,0.00E+00
78.3036,2.50E+01
78.3074,1.00E+01
78.3113,0.00E+00
78.5589,0.00E+00
78.5627,6.00E+00
78.5666,9.00E+00
78.5705,0.00E+00
78.6169,0.00E+00
78.6208,6.00E+00
78.6247,2.20E+01
78.6286,0.00E+00
78.8301,0.00E+00
78.8339,1.40E+01
78.8378,1.40E+01
78.8417,0.00E+00
78.896,0.00E+00
78.8999,5.10E+01
78.9038,6.00E+00
78.9076,0.00E+00
78.9736,0.00E+00
78.9775,1.20E+01
78.9814,1.10E+01
78.9853,0.00E+00
79.0047,0.00E+00
79.0085,7.00E+00
79.0124,3.80E+01
79.0163,4.27E+02
79.0202,4.53E+02
79.0241,2.16E+02
79.028,6.90E+01
79.0318,1.90E+01
79.0357,4.00E+00
79.0396,2.20E+01
79.0435,1.69E+02
79.0474,6.11E+02
79.0513,6.54E+03
79.0551,1.67E+04
79.059,1.28E+04
79.0629,2.61E+03
79.0668,2.01E+02
79.0707,2.70E+01
79.0746,2.20E+01
79.0784,3.20E+01
79.0823,0.00E+00
79.2689,0.00E+00
79.2728,2.00E+01
79.2766,5.00E+00
79.2805,0.00E+00
79.3856,0.00E+00
79.3895,1.20E+01
79.3933,3.00E+00
79.3972,0.00E+00
79.4245,0.00E+00
79.4284,1.90E+01
79.4323,0.00E+00
79.5374,0.00E+00
79.5413,1.10E+01
79.5452,5.00E+00
79.5491,0.00E+00
79.5958,0.00E+00
79.5997,2.50E+01
79.6036,9.00E+00
79.6075,0.00E+00
79.666,0.00E+00
79.6699,4.00E+00
79.6738,9.00E+00
79.6777,0.00E+00
79.7284,0.00E+00
79.7323,2.20E+01
79.7362,0.00E+00
80.0172,0.00E+00
80.0211,1.19E+02
80.025,3.01E+02
80.0289,4.21E+02
80.0328,1.46E+02
80.0367,6.80E+01
80.0406,0.00E+00
80.0446,0.00E+00
80.0485,4.50E+01
80.0524,1.98E+02
80.0563,1.02E+03
80.0602,2.44E+03
80.0641,2.44E+03
80.068,1.03E+03
80.0719,2.80E+01
80.0758,0.00E+00
80.1032,0.00E+00
80.1071,5.00E+00
80.111,1.10E+01
80.1149,0.00E+00
80.2987,0.00E+00
80.3027,1.20E+01
80.3066,3.00E+00
80.3105,0.00E+00
80.5142,0.00E+00
80.5181,7.00E+00
80.522,7.00E+00
80.5259,0.00E+00
80.569,0.00E+00
80.5729,1.30E+01
80.5769,1.50E+01
80.5808,0.00E+00
80.6278,0.00E+00
80.6318,7.00E+00
80.6357,2.50E+01
80.6396,7.00E+00
80.6435,0.00E+00
80.6788,0.00E+00
80.6827,9.00E+00
80.6867,4.00E+00
80.6906,0.00E+00
80.6984,0.00E+00
80.7024,2.00E+00
80.7063,2.00E+01
80.7102,0.00E+00
80.773,0.00E+00
80.7769,1.10E+01
80.7809,1.10E+01
80.7848,0.00E+00
80.7966,0.00E+00
80.8005,2.50E+01
80.8044,2.40E+01
80.8083,0.00E+00
80.9144,0.00E+00
80.9183,3.40E+01
80.9222,4.00E+00
80.9262,4.00E+00
80.9301,1.10E+01
80.934,0.00E+00
80.9537,0.00E+00
80.9576,6.00E+00
80.9615,1.50E+01
80.9655,0.00E+00
80.9772,0.00E+00
80.9812,1.90E+01
80.9851,3.40E+01
80.989,1.00E+01
80.993,1.00E+01
80.9969,0.00E+00
81.0205,0.00E+00
81.0244,6.00E+00
81.0283,3.42E+02
81.0323,1.79E+03
81.0362,2.55E+03
81.0401,9.39E+02
81.0441,1.92E+02
81.048,2.90E+01
81.0519,0.00E+00
81.0559,3.00E+00
81.0598,5.20E+01
81.0637,2.36E+02
81.0677,7.45E+02
81.0716,1.16E+03
81.0755,7.32E+02
81.0795,9.40E+01
81.0834,0.00E+00
81.2762,0.00E+00
81.2802,9.00E+00
81.2841,9.00E+00
81.288,0.00E+00
81.2998,0.00E+00
81.3038,4.00E+00
81.3077,9.00E+00
81.3117,0.00E+00
81.3865,0.00E+00
