M/Z,INTENSITY
70.0758,2.00E+00
70.0794,2.00E+01
70.0831,0.00E+00
70.1087,0.00E+00
70.1124,3.00E+00
70.116,2.60E+01
70.1197,0.00E+00
70.1636,0.00E+00
70.1672,2.20E+01
70.1709,5.00E+00
70.1745,0.00E+00
70.2258,0.00E+00
70.2294,9.00E+00
70.2331,4.00E+00
70.2367,0.00E+00
70.2404,2.30E+01
70.2441,0.00E+00
70.2477,0.00E+00
70.2514,4.00E+00
70.2551,1.10E+01
70.2587,0.00E+00
70.288,0.00E+00
70.2917,4.00E+00
70.2953,1.90E+01
70.299,0.00E+00
70.4455,0.00E+00
70.4492,1.00E+01
70.4529,7.00E+00
70.4565,0.00E+00
70.5042,0.00E+00
70.5079,8.00E+00
70.5115,1.10E+01
70.5152,1.00E+01
70.5189,1.00E+01
70.5225,0.00E+00
70.6216,0.00E+00
70.6253,2.10E+01
70.6289,2.00E+00
70.6326,0.00E+00
70.6363,2.30E+01
70.6399,2.60E+01
70.6436,0.00E+00
70.8163,0.00E+00
70.8199,6.00E+00
70.8236,2.20E+01
70.8273,0.00E+00
70.9744,0.00E+00
70.9781,6.00E+00
70.9817,9.00E+00
70.9854,3.00E+01
70.9891,1.00E+00
70.9928,0.00E+00
71.0075,0.00E+00
71.0112,1.10E+01
71.0149,2.60E+01
71.0185,0.00E+00
71.0406,0.00E+00
71.0443,7.60E+01
71.048,2.82E+02
71.0517,3.91E+02
71.0554,1.13E+02
71.059,1.40E+01
71.0627,3.00E+00
71.0664,0.00E+00
71.0848,0.00E+00
71.0885,4.00E+00
71.0922,1.10E+01
71.0959,0.00E+00
71.2727,0.00E+00
71.2764,9.00E+00
71.2801,9.00E+00
71.2838,0.00E+00
71.2949,0.00E+00
71.2985,1.80E+01
71.3022,0.00E+00
71.3133,0.00E+00
71.317,1.30E+01
71.3207,3.20E+01
71.3244,0.00E+00
71.3945,0.00E+00
71.3982,1.00E+01
71.4018,7.00E+00
71.4055,0.00E+00
71.5237,0.00E+00
71.5274,7.00E+00
71.5311,2.00E+01
71.5348,0.00E+00
71.5606,0.00E+00
71.5643,4.40E+01
71.568,4.90E+01
71.5717,0.00E+00
71.5939,0.00E+00
71.5976,6.00E+00
71.6013,9.00E+00
71.605,0.00E+00
71.6234,0.00E+00
71.6271,1.50E+01
71.6308,2.00E+00
71.6345,0.00E+00
71.6863,0.00E+00
71.69,8.00E+00
71.6937,2.30E+01
71.6974,0.00E+00
71.727,0.00E+00
71.7307,5.00E+00
71.7344,1.90E+01
71.7381,0.00E+00
71.7825,0.00E+00
71.7862,3.00E+00
